Letter,Ipv4Address,Ipv6Address,Operator
A,198.41.0.4,2001:503:ba3e::2:30,VeriSign
B,192.228.79.201,2001:478:65::53,USC-ISI
C,192.33.4.12,2001:500:2::c,Cogent Communications
D,199.7.91.13,2001:500:2d::d,University of Maryland
E,192.203.230.10,2001:500:a8::e,NASA
F,192.5.5.241,2001:500:2f::f,ISC
G,192.112.36.4,	U.S. DoD NIC
H,128.63.2.53,2001:500:1::803f:235,US Army Research Lab
I,192.36.148.17,2001:7FE::53,Autonomica
J,192.58.128.30,2001:503:c27::2:30,VeriSign
K,193.0.14.129,2001:7fd::1,RIPE NCC
L,199.7.83.42,2001:500:3::42,ICANN
M,202.12.27.33,2001:dc3::35,WIDE Project
